name,vote_average,vote_count,overview,genres,keyword,trailer,imdb_id,quality_score,soup
The Last Dance,8.3,1434,"A 10-part documentary chronicling the untold story of Michael Jordan and the Chicago Bulls dynasty with rare, never-before-seen footage and sound from the 1997-98 championship season – plus over 100 interviews with famous figures and basketball’s biggest names.",['Documentary'],"['interview', 'sports', 'jordan', 'basketball', 'behind the scenes', 'sports documentary', 'national basketball association (nba)', 'chicago bulls']",https://www.youtube.com/watch?v=N9Z9JtNcCWY,tt8420184,0.8391652191038466,interview sports jordan basketball behind the scenes sports documentary national basketball association (nba) chicago bulls Documentary Documentary Documentary Documentary Documentary Documentary Documentary Documentary Documentary
Grimm,8.266,3457,"After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms,"" he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm.","['Drama', 'Mystery', 'Sci-Fi & Fantasy']","['detective', 'fairy tale', 'police', 'supernatural', 'creature', 'police detective', 'homicide detective', 'neo-noir', 'fighting supernatural']",https://www.youtube.com/watch?v=2rVy3RBJmNo,tt1830617,0.8349712028156949,detective fairy tale police supernatural creature police detective homicide detective neo-noir fighting supernatural Drama Mystery Sci-Fi & Fantasy Drama Mystery Sci-Fi & Fantasy Drama Mystery Sci-Fi & Fantasy Drama Mystery Sci-Fi & Fantasy Drama Mystery Sci-Fi & Fantasy Drama Mystery Sci-Fi & Fantasy Drama Mystery Sci-Fi & Fantasy Drama Mystery Sci-Fi & Fantasy Drama Mystery Sci-Fi & Fantasy
1883,8.263,870,"Follow the Dutton family as they embark on a journey west through the Great Plains toward the last bastion of untamed America. A stark retelling of Western expansion, and an intense study of one family fleeing poverty to seek a better future in America’s promised land — Montana.","['Drama', 'Western']","['texas', 'frontier', 'miniseries', 'family drama', 'historical', 'convoy', 'wild west', 'indian attack', 'civil war veteran', 'wagon', 'journey', 'pinkertons', '19th century', 'oregon trail', 'riveting', 'dramatic', 'violence']",https://www.youtube.com/watch?v=Y2Q7Kwz4fU0,tt13991232,0.7836230309527814,texas frontier miniseries family drama historical convoy wild west indian attack civil war veteran wagon journey pinkertons 19th century oregon trail riveting dramatic violence Drama Western Drama Western Drama Western Drama Western Drama Western Drama Western Drama Western Drama Western Drama Western
Mr. Robot,8.263,5192,"A young programmer, Elliot, suffers from a debilitating anti-social disorder and decides that he can only connect to people by hacking them. He wields his skills as a weapon to protect the people that he cares about. Elliot finds himself in the intersection between a cybersecurity firm he works for and the underworld organizations that are recruiting him to bring down corporate America.","['Crime', 'Drama']","['hacker', 'secret society', 'childhood trauma', 'psychological thriller', 'social anxiety', 'nature of reality', 'grand', 'powerful']",https://www.youtube.com/watch?v=N6HGuJC--rk,tt4158110,0.6208201648778091,hacker secret society childhood trauma psychological thriller social anxiety nature of reality grand powerful Crime Drama Crime Drama Crime Drama Crime Drama Crime Drama Crime Drama Crime Drama Crime Drama Crime Drama
Ben 10: Omniverse,8.3,512,"A year after the events that took place during the ""Final Battle"" and equipped with an all-new completed Omnitrix, 16-year-old Ben Tennyson has to face new enemies.","['Action & Adventure', 'Animation', 'Sci-Fi & Fantasy', 'Kids']","['extraterrestrial technology', 'transformation', 'time travel', 'sequel', 'alien', 'parallel world', 'alien race', 'teen superhero', 'pathetic', 'absurd']",https://www.youtube.com/watch?v=rg_rjuS2_SU,tt2293002,0.6630296056761023,extraterrestrial technology transformation time travel sequel alien parallel world alien race teen superhero pathetic absurd Action & Adventure Animation Sci-Fi & Fantasy Kids Action & Adventure Animation Sci-Fi & Fantasy Kids Action & Adventure Animation Sci-Fi & Fantasy Kids Action & Adventure Animation Sci-Fi & Fantasy Kids Action & Adventure Animation Sci-Fi & Fantasy Kids Action & Adventure Animation Sci-Fi & Fantasy Kids Action & Adventure Animation Sci-Fi & Fantasy Kids Action & Adventure Animation Sci-Fi & Fantasy Kids Action & Adventure Animation Sci-Fi & Fantasy Kids
Defending Jacob,8.26,1527,A family's lives are irreparably disrupted when the 14-year-old son is accused of murdering a fellow classmate.,"['Drama', 'Mystery', 'Crime']","['detective', 'based on novel or book', 'husband wife relationship', 'knife', 'investigation', 'high school', 'bullying', 'murder', 'lawyer', 'miniseries', 'teenage boy', 'murder suspect', 'distressing']",https://www.youtube.com/watch?v=XQfeoRLvfqU,tt2304589,0.7254615488128315,detective based on novel or book husband wife relationship knife investigation high school bullying murder lawyer miniseries teenage boy murder suspect distressing Drama Mystery Crime Drama Mystery Crime Drama Mystery Crime Drama Mystery Crime Drama Mystery Crime Drama Mystery Crime Drama Mystery Crime Drama Mystery Crime Drama Mystery Crime
Yellowstone,8.258,3010,"Follow the violent world of the Dutton family, who controls the largest contiguous ranch in the United States. Led by their patriarch John Dutton, the family defends their property against constant attack by land developers, an Indian reservation, and America’s first National Park.","['Western', 'Drama']","['montana', 'ranch', 'family drama', 'crime family', 'cattle ranch', 'neo-western', 'wildlife conservation', 'trend', 'complicated']",https://www.youtube.com/watch?v=suobrMPBLlo,tt4236770,0.7995490749495207,montana ranch family drama crime family cattle ranch neo-western wildlife conservation trend complicated Western Drama Western Drama Western Drama Western Drama Western Drama Western Drama Western Drama Western Drama Western Drama
Boy Meets World,8.3,545,"The coming of age events and everyday life-lessons of Cory Matthews, a Philadelphian who grows up from a young boy to a married man.","['Drama', 'Comedy', 'Family']","['philadelphia, pennsylvania', 'friendship', 'high school', 'growing up', 'family relationships', 'coming of age', 'school', 'sitcom', 'life lessons', 'amused']",,tt0105958,0.6617655367745482,"philadelphia, pennsylvania friendship high school growing up family relationships coming of age school sitcom life lessons amused Drama Comedy Family Drama Comedy Family Drama Comedy Family Drama Comedy Family Drama Comedy Family Drama Comedy Family Drama Comedy Family Drama Comedy Family Drama Comedy Family"
POSE,8.3,584,"A dance musical that explores the juxtaposition of several segments of 1980s life and society in New York: the ball culture world, the rise of the luxury Trump-era universe and the downtown social and literary scene.",['Drama'],"['new york city', 'lgbt', 'speculative', '1980s', 'voguing', 'ball culture', 'found family', 'hiv/aids epidemic', 'transgender', 'enchant']",https://www.youtube.com/watch?v=zd9n1MEhbSk,tt7562112,0.7916384776666325,new york city lgbt speculative 1980s voguing ball culture found family hiv/aids epidemic transgender enchant Drama Drama Drama Drama Drama Drama Drama Drama Drama
Castlevania,8.254,1500,A vampire hunter fights to save a besieged city from an army of otherworldly beasts controlled by Dracula himself.,"['Animation', 'Sci-Fi & Fantasy', 'Drama']","['magic', 'vampire', 'cartoon', 'vampire hunter (slayer)', 'demon', 'based on video game', 'medieval', 'dark fantasy', 'plague', 'corrupt church', 'condescending', 'pretentious', 'anime inspired']",https://www.youtube.com/watch?v=m3jNb7IdJHQ,tt6517102,0.8277328413741492,magic vampire cartoon vampire hunter (slayer) demon based on video game medieval dark fantasy plague corrupt church condescending pretentious anime inspired Animation Sci-Fi & Fantasy Drama Animation Sci-Fi & Fantasy Drama Animation Sci-Fi & Fantasy Drama Animation Sci-Fi & Fantasy Drama Animation Sci-Fi & Fantasy Drama Animation Sci-Fi & Fantasy Drama Animation Sci-Fi & Fantasy Drama Animation Sci-Fi & Fantasy Drama Animation Sci-Fi & Fantasy Drama
